identifier,address,chain,name,symbol,decimals,coingecko,cryptocompare,started,protocol
eip155:56/erc20:0xAC51066d7bEC65Dc4589368da368b212745d63E8,0xAC51066d7bEC65Dc4589368da368b212745d63E8,56,ALICE,ALICE,6,my-neighbor-alice,ALICE,1614701740,
eip155:56/erc20:0x51BA0b044d96C3aBfcA52B64D733603CCC4F0d4D,0x51BA0b044d96C3aBfcA52B64D733603CCC4F0d4D,56,SUPER-ERC20,SUPER,18,superfarm,SUPER,1614316747,
eip155:56/erc20:0x2222227E22102Fe3322098e4CBfE18cFebD57c95,0x2222227E22102Fe3322098e4CBfE18cFebD57c95,56,Alien Worlds Trilium,TLM,4,alien-worlds,TLM,1617051822,
eip155:56/erc20:0xe4A4Ad6E0B773f47D28f548742a23eFD73798332,0xe4A4Ad6E0B773f47D28f548742a23eFD73798332,56,GNY,GNY,18,gny,GNY,1615194137,
eip155:56/erc20:0x3C45A24d36Ab6fc1925533C1F57bC7e1b6fbA8a4,0x3C45A24d36Ab6fc1925533C1F57bC7e1b6fbA8a4,56,OptionRoom Token,ROOM,18,option-room,ROOM,1626971746,
eip155:56/erc20:0x78A18Db278F9c7c9657F61dA519e6Ef43794DD5D,0x78A18Db278F9c7c9657F61dA519e6Ef43794DD5D,56,Shopping.io on BSC,SPI,18,shopping-io-token,SPI,1614732990,
eip155:56/erc20:0xc2c23a86DEF9e9f5972a633b3d25F7ecBFA5e575,0xc2c23a86DEF9e9f5972a633b3d25F7ecBFA5e575,56,Unilayer,LAYER,18,unilayer,LAYER,1615992071,
eip155:56/erc20:0x961C8c0B1aaD0c0b10a51FeF6a867E3091BCef17,0x961C8c0B1aaD0c0b10a51FeF6a867E3091BCef17,56,DeFiYieldProtocol,DYP,18,defi-yield-protocol,DYP,1617558657,
eip155:56/erc20:0x1861C9058577C3b48e73d91d6f25C18B17FBFFE0,0x1861C9058577C3b48e73d91d6f25C18B17FBFFE0,56,DSLA,DSLA,18,stacktical,DSLA,1622172732,
eip155:56/erc20:0xd52669712f253CD6b2Fe8A8638F66ed726cb770C,0xd52669712f253CD6b2Fe8A8638F66ed726cb770C,56,Curate,XCUR,8,curate,XCUR,1645756719,
eip155:56/erc20:0xCD7E445175fF67475F0079B13aA6bED8a4e01809,0xCD7E445175fF67475F0079B13aA6bED8a4e01809,56,ADD,ADD,18,add-xyz-new,ADD,1637768527,
eip155:56/erc20:0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,56,KIRA Network,KEX,6,kira-network,,1614934183,
eip155:56/erc20:0x134B372f5543C5CCa30Be6a796Da032c8274bDdF,0x134B372f5543C5CCa30Be6a796Da032c8274bDdF,56,LABS Group,LABS,18,labs-group,LABS,1644991109,
eip155:56/erc20:0xe7c9C6bc87B86f9E5b57072F907EE6460B593924,0xe7c9C6bc87B86f9E5b57072F907EE6460B593924,56,TOWER,TOWER,18,tower,TOWER,1631693877,
eip155:56/erc20:0xbd7B8e4de08D9b01938F7FF2058F110ee1E0E8d4,0xbd7B8e4de08D9b01938F7FF2058F110ee1E0E8d4,56,GamerCoin,GHX,18,gamercoin,GHX,1642079791,
